first_name,last_name,middle_initial,date_of_birth,date_of_death,ssn,verification
Forest,Nixon,C,2020-11-10,2021-03-21,334-75-9505,Verified
Thaddeus,Mitchell,V,1907-11-24,2017-10-19,229-93-8135,Not Verified
Dillon,Mueller,W,1998-03-17,2017-11-25,884-80-2128,Verified
Ariah,Dean,A,2014-06-29,2022-06-01,314-38-5412,Verified
Truett,Shepherd,D,2015-12-18,2021-04-30,255-60-9184,Not Verified
Daisy,Donovan,D,1977-04-06,2011-02-26,265-34-8522,Verified
Case,Knight,A,1928-11-30,2003-12-19,671-05-6865,Verified
Savanna,Wilkerson,X,1913-08-10,1928-05-05,947-63-2482,Verified
Sam,Haley,F,1968-05-02,1984-07-26,023-87-8467,Not Verified
Lawson,Blackburn,I,1914-04-25,1961-02-13,996-69-5993,Not Verified
Jadiel,Zamora,E,1926-08-21,1960-09-08,319-86-0224,Not Verified
Macie,Becker,O,1993-11-18,2017-12-23,407-94-5870,Not Verified
Dane,Malone,S,1939-07-07,1973-06-07,232-64-7815,Not Verified
Hattie,Gould,C,1921-08-15,1988-06-19,679-69-9788,Not Verified
Vicente,Barker,Y,1969-08-10,2006-07-17,540-36-7500,Not Verified
Braylee,Portillo,J,1902-09-02,1929-08-27,020-28-4362,Not Verified
Meredith,Leach,J,1956-03-24,2019-12-10,553-29-1160,Verified
Laila,Moses,N,1930-11-01,1942-02-06,649-18-1042,Verified
Olive,Prince,E,2013-05-07,2019-10-01,985-02-4169,Not Verified
Sam,Donovan,R,1981-06-03,1996-03-24,407-36-7542,Not Verified
Augustine,Lopez,R,2004-08-14,2012-01-19,225-50-6282,Verified
Sariyah,Galindo,E,1911-09-20,1980-01-01,192-60-5699,Verified
Celine,Ray,R,1967-11-04,1983-09-12,333-16-3820,Verified
Amara,Franco,T,2001-10-24,2009-02-15,029-81-7090,Not Verified
Armani,Pace,B,1916-09-08,1933-01-24,632-46-9923,Not Verified
Cooper,Donovan,O,1978-06-16,2016-03-14,590-87-7129,Not Verified
Anahi,Odom,L,1915-06-07,1933-08-14,050-03-0674,Not Verified
Juniper,Graves,B,1969-08-28,1983-12-06,927-78-0259,Verified
Addilynn,Bates,P,1982-04-21,1987-08-27,857-86-1889,Not Verified
Linda,Cordova,M,1987-01-03,2003-07-29,343-76-6729,Not Verified
Colt,Doyle,W,1949-05-18,1993-07-10,759-62-3909,Not Verified
Hezekiah,Sherman,M,1985-04-14,2014-02-04,819-35-2773,Verified
Cecilia,Hendrix,T,1982-02-03,2005-03-21,466-65-8244,Verified
Enoch,Sandoval,E,1982-07-25,2021-08-05,024-71-9145,Verified
